Alphagen,2020222003,285.00,3R0000000009,30,008
Paysure Limited,2021681001,7.950000000000000000000000000000000000000000,3R0000000009,30,008
Chase Bank (K) Limited,303000015,2.250000000000000000000000000000000000000000,3R0000000009,30,000
Kenswitch Limited,2021681003,4.80000000000000000000000000000000000000000,3R0000000009,30,008

Alphagen Test,33333,118.75,3R0000000007,0000,11111
Paysure Limited,2021681001,3.312500000000000000000000000000000000000000,3R0000000007,30,008
Chase Bank (K) Limited,303000015,0.937500000000000000000000000000000000000000,3R0000000007,30,000
Kenswitch Limited,2021681003,2.00000000000000000000000000000000000000000,3R0000000007,30,008

Alphagen,2020222003,261.25,3R0000000008,30,008
Paysure Limited,2021681001,7.287500000000000000000000000000000000000000,3R0000000008,30,008
Chase Bank (K) Limited,303000015,2.062500000000000000000000000000000000000000,3R0000000008,30,000
Kenswitch Limited,2021681003,4.40000000000000000000000000000000000000000,3R0000000008,30,008

